Smooth Loops,Parallelisim Type,Matrix Size,Nodes,MPI Tasks,Thread Pool,Accuracy,Time,CRC64,Parity,Speedup,Efficiency,SOPS,GSOPS/sec,Karp-Flatt,Overhead,Isoefficiency
2036,0,1024,1,1,1,0.0001,32.380494,06a8ad906dc8a3bb,cff0d5f929dc08e7,1.0000,1.0000,2.13E+09,0.07,n/a,0.00,1.000
2036,1,1024,1,1,1,0.0001,32.398676,06a8ad906dc8a3bb,cff0d5f929dc08e7,0.9994,0.9994,2.13E+09,0.07,n/a,0.02,0.999
2036,1,1024,1,2,1,0.0001,17.262379,06a8ad906dc8a3bb,cff0d5f929dc08e7,1.8758,0.9379,2.13E+09,0.12,0.0662,2.14,0.890
2036,1,1024,1,3,1,0.0001,11.664676,06a8ad906dc8a3bb,cff0d5f929dc08e7,2.7759,0.9253,2.13E+09,0.18,0.0404,2.61,0.817
2036,1,1024,1,4,1,0.0001,8.92318,06a8ad906dc8a3bb,cff0d5f929dc08e7,3.6288,0.9072,2.13E+09,0.24,0.0341,3.31,0.729
2036,1,1024,1,5,1,0.0001,7.132353,06a8ad906dc8a3bb,cff0d5f929dc08e7,4.5399,0.9080,2.13E+09,0.30,0.0253,3.28,0.685
2036,1,1024,1,6,1,0.0001,5.958767,06a8ad906dc8a3bb,cff0d5f929dc08e7,5.4341,0.9057,2.13E+09,0.36,0.0208,3.37,0.639
2036,1,1024,1,7,1,0.0001,5.162744,06a8ad906dc8a3bb,cff0d5f929dc08e7,6.2720,0.8960,2.13E+09,0.41,0.0193,3.76,0.579
2036,1,1024,1,8,1,0.0001,4.542535,06a8ad906dc8a3bb,cff0d5f929dc08e7,7.1283,0.8910,2.13E+09,0.47,0.0175,3.96,0.534
2036,1,1024,1,9,1,0.0001,4.042593,06a8ad906dc8a3bb,cff0d5f929dc08e7,8.0098,0.8900,2.13E+09,0.53,0.0155,4.00,0.502
2036,1,1024,1,10,1,0.0001,3.657178,06a8ad906dc8a3bb,cff0d5f929dc08e7,8.8540,0.8854,2.13E+09,0.58,0.0144,4.19,0.466
2036,1,1024,1,11,1,0.0001,3.319452,06a8ad906dc8a3bb,cff0d5f929dc08e7,9.7548,0.8868,2.13E+09,0.64,0.0128,4.13,0.445
2036,1,1024,1,12,1,0.0001,3.086888,06a8ad906dc8a3bb,cff0d5f929dc08e7,10.4897,0.8741,2.13E+09,0.69,0.0131,4.66,0.398
2036,1,1024,1,13,1,0.0001,2.834289,06a8ad906dc8a3bb,cff0d5f929dc08e7,11.4246,0.8788,2.13E+09,0.75,0.0115,4.47,0.388
2036,1,1024,1,14,1,0.0001,2.823588,06a8ad906dc8a3bb,cff0d5f929dc08e7,11.4679,0.8191,2.13E+09,0.75,0.0170,7.15,0.283
2036,1,1024,1,15,1,0.0001,2.634952,06a8ad906dc8a3bb,cff0d5f929dc08e7,12.2888,0.8193,2.13E+09,0.81,0.0158,7.14,0.269
2036,1,1024,1,16,1,0.0001,2.32775,06a8ad906dc8a3bb,cff0d5f929dc08e7,13.9106,0.8694,2.13E+09,0.91,0.0100,4.86,0.324
2036,1,1024,2,1,1,0.0001,32.414565,06a8ad906dc8a3bb,cff0d5f929dc08e7,0.9989,0.9989,2.13E+09,0.07,n/a,0.03,0.999
2036,1,1024,2,2,1,0.0001,17.255604,06a8ad906dc8a3bb,cff0d5f929dc08e7,1.8765,0.9383,2.13E+09,0.12,0.0658,2.13,0.890
2036,1,1024,2,3,1,0.0001,11.667732,06a8ad906dc8a3bb,cff0d5f929dc08e7,2.7752,0.9251,2.13E+09,0.18,0.0405,2.62,0.816
2036,1,1024,2,4,1,0.0001,8.925084,06a8ad906dc8a3bb,cff0d5f929dc08e7,3.6280,0.9070,2.13E+09,0.24,0.0342,3.32,0.729
2036,1,1024,2,5,1,0.0001,7.133348,06a8ad906dc8a3bb,cff0d5f929dc08e7,4.5393,0.9079,2.13E+09,0.30,0.0254,3.29,0.685
